activity_pct_change,rumination_pct_change,body_temp_max,lying_time_pct_change,max_ec,ec_pct_change,quarter_ec_asymmetry,max_ph,max_turbidity,cmt_score,max_scc_log,avg_humidity,avg_bedding_moisture,thi,lactation_number,age_years,prev_mastitis_flag,days_in_milk,label,cow_sim_id
-6.7678,0.7682,38.6,0.7736,5.2823,0.2805,0.1033,6.62,97.4245,0.0,5.1902,57.6064,29.8348,28.1033,6.0,4.3,0.0,141.0,0,cow_0001
-3.9428,0.9297,38.6,-0.818,5.3721,1.9858,0.0933,6.62,101.4424,0.0,5.1705,57.5403,30.3734,26.985,6.0,4.3,0.0,142.0,0,cow_0001
-8.3858,0.9885,38.6,1.0822,5.377,2.078,0.1012,6.62,100.8881,0.0,5.1946,56.2052,30.6453,28.1703,6.0,4.3,0.0,143.0,0,cow_0001
-8.0963,-4.309,38.6,6.1635,5.3351,1.2836,0.0964,6.62,103.6205,0.0,5.1865,57.6318,31.7787,28.2098,6.0,4.3,0.0,144.0,0,cow_0001
-5.157,0.2226,38.6,2.8134,5.186,-1.5469,0.0986,6.62,97.8892,0.0,5.1979,58.3728,29.7597,27.9915,6.0,4.3,0.0,145.0,0,cow_0001
-6.7461,-0.4436,38.6,-0.6776,5.3024,0.6634,0.1007,6.62,102.7534,0.0,5.1973,55.2892,29.1757,27.4921,6.0,4.3,0.0,146.0,0,cow_0001
-4.0237,2.8253,38.6,-2.2163,5.1166,-2.8644,0.1017,6.62,103.6128,0.0,5.1964,57.956,31.4873,28.6963,6.0,4.3,0.0,147.0,0,cow_0001
-0.9062,-4.0931,38.6,3.4512,5.2078,-1.1325,0.1006,6.62,100.2482,0.0,5.1736,57.0763,29.9982,27.5038,6.0,4.3,0.0,148.0,0,cow_0001
-10.132,0.5643,38.6,6.6498,5.0428,-4.2667,0.1018,6.62,101.501,0.0,5.2041,58.4135,31.04,29.4049,6.0,4.3,0.0,149.0,0,cow_0001
-9.1131,-0.048,38.6,-1.8084,5.3024,0.6629,0.0972,6.62,103.6758,0.0,5.187,57.7178,31.5384,28.0289,6.0,4.3,0.0,150.0,0,cow_0001
-5.5112,2.3481,38.6,-1.2409,5.5553,5.4645,0.1038,6.62,99.2487,0.0,5.1888,59.6686,30.0669,27.6533,6.0,4.3,0.0,151.0,0,cow_0001
-6.3637,-0.305,38.6,0.6648,5.1345,-2.5256,0.1011,6.62,99.5022,0.0,5.1709,55.4581,30.228,27.3738,6.0,4.3,0.0,152.0,0,cow_0001
-7.5112,-1.7949,38.6,-3.5937,5.5705,5.7519,0.0997,6.62,101.7649,0.0,5.1841,57.1497,30.3049,28.1551,6.0,4.3,0.0,153.0,0,cow_0001
-9.051,-4.8599,38.6,1.9924,4.986,-5.3432,0.0974,6.62,99.5761,0.0,5.2063,58.516,29.6262,27.7072,6.0,4.3,0.0,154.0,0,cow_0001
-7.4952,-0.2597,38.6,-4.9568,5.2093,-1.1042,0.0999,6.62,101.182,0.0,5.1654,57.1954,30.3598,26.9279,6.0,4.3,0.0,155.0,0,cow_0001
-6.3457,0.5236,38.6,-3.6578,5.1135,-2.924,0.0941,6.62,97.0632,0.0,5.1946,56.1741,29.3579,27.9483,6.0,4.3,0.0,156.0,0,cow_0001
-8.3957,-5.365,38.6,0.0123,5.3327,1.2372,0.1008,6.62,99.9179,0.0,5.1943,59.4741,29.6962,28.1221,6.0,4.3,0.0,157.0,0,cow_0001
-1.817,-3.9498,38.6,-5.4223,5.258,-0.1805,0.0969,6.62,100.8763,0.0,5.179,57.4113,30.3262,27.0069,6.0,4.3,0.0,158.0,0,cow_0001
-2.6324,-0.9599,38.6,-4.0665,5.1893,-1.4844,0.0991,6.62,100.3968,0.0,5.1903,59.1642,29.8548,28.6725,6.0,4.3,0.0,159.0,0,cow_0001
-5.344,-3.711,38.6,-0.5388,5.5141,4.6824,0.1017,6.62,102.6247,0.0,5.1796,57.2526,29.5496,27.8858,6.0,4.3,0.0,160.0,0,cow_0001
-13.3487,-1.7142,38.6,-2.9142,5.3298,1.1823,0.102,6.62,94.824,0.0,5.1746,60.9435,30.4321,27.7305,6.0,4.3,0.0,161.0,0,cow_0001
-2.41,-1.6092,38.6,7.6555,5.3536,1.6346,0.1003,6.62,100.7449,0.0,5.1794,59.1329,28.5408,26.7497,6.0,4.3,0.0,162.0,0,cow_0001
-5.4763,1.8441,38.6,-0.3988,5.2805,0.2463,0.0996,6.62,104.4726,0.0,5.1962,60.6709,29.3703,28.395,6.0,4.3,0.0,163.0,0,cow_0001
-4.3403,1.3689,38.6,-1.8809,5.3784,2.1058,0.0976,6.62,99.704,0.0,5.1779,58.6764,29.8595,27.9079,6.0,4.3,0.0,164.0,0,cow_0001
-5.7274,-6.7074,38.6,0.075,5.0685,-3.7781,0.098,6.62,100.7284,0.0,5.1824,60.3115,31.7357,28.1286,6.0,4.3,0.0,165.0,0,cow_0001
1.6405,-1.0857,38.4,2.8273,4.7386,2.2344,0.0983,6.58,87.0866,0.0,5.0253,67.4719,31.5214,21.8382,3.0,7.7,0.0,207.0,0,cow_0002
-4.5657,2.4568,38.4,-1.7075,4.5506,-1.8204,0.0983,6.58,86.2927,0.0,5.0148,65.6371,32.1512,21.0639,3.0,7.7,0.0,208.0,0,cow_0002
-3.3447,0.5783,38.4,2.8225,4.5409,-2.0308,0.1,6.58,89.8565,0.0,5.0177,65.4028,31.7261,22.7725,3.0,7.7,0.0,209.0,0,cow_0002
-4.7058,1.4955,38.4,-4.3411,4.6962,1.3198,0.0962,6.58,83.6873,0.0,4.9942,68.9729,31.7227,22.9731,3.0,7.7,0.0,210.0,0,cow_0002
1.5325,-3.86,38.4,-0.3042,4.6381,0.0671,0.0985,6.58,90.2944,0.0,5.0042,66.079,31.0419,21.5918,3.0,7.7,0.0,211.0,0,cow_0002
-0.106,-1.2262,38.4,1.9965,4.5908,-0.9531,0.1009,6.58,91.6776,0.0,5.0117,66.5358,31.5405,22.1696,3.0,7.7,0.0,212.0,0,cow_0002
-2.4906,-0.0141,38.4,2.4672,4.8237,4.0722,0.0965,6.58,86.4568,0.0,5.0281,66.8695,30.8398,21.8362,3.0,7.7,0.0,213.0,0,cow_0002
-1.8174,-1.744,38.4,-2.5792,4.6484,0.2889,0.1022,6.58,89.6027,0.0,5.0066,65.1682,31.3247,22.0432,3.0,7.7,0.0,214.0,0,cow_0002
-2.5983,0.7884,38.4,-2.6453,4.638,0.0648,0.1034,6.58,89.9856,0.0,5.0236,66.6389,32.2638,22.6847,3.0,7.7,0.0,215.0,0,cow_0002
-5.6787,4.5468,38.4,0.4195,4.6442,0.1995,0.0993,6.58,92.5925,0.0,5.011,62.5074,31.1569,21.4906,3.0,7.7,0.0,216.0,0,cow_0002
0.6157,-5.5653,38.4,2.6269,4.5631,-1.551,0.0998,6.58,92.3738,0.0,5.0156,64.9886,31.5712,22.7773,3.0,7.7,0.0,217.0,0,cow_0002
-7.4781,8.3754,38.4,-2.7403,4.5211,-2.4568,0.0999,6.58,91.0235,0.0,5.0078,66.8155,32.694,22.9835,3.0,7.7,0.0,218.0,0,cow_0002
-4.6743,-2.4352,38.4,-9.9266,4.6062,-0.6214,0.096,6.58,87.2696,0.0,5.0155,62.8152,30.7709,22.8493,3.0,7.7,0.0,219.0,0,cow_0002
-2.4468,-6.3507,38.4,-0.0707,4.6559,0.4519,0.1047,6.58,88.7521,0.0,5.0236,64.3427,32.4784,22.2257,3.0,7.7,0.0,220.0,0,cow_0002
0.0509,2.7451,38.4,1.6815,4.5688,-1.4273,0.1016,6.58,85.6676,0.0,5.0199,69.2866,32.1348,21.9629,3.0,7.7,0.0,221.0,0,cow_0002
-0.7152,0.5726,38.4,-1.0867,4.5393,-2.0658,0.1013,6.58,91.24,0.0,5.0208,64.0196,31.1018,21.5841,3.0,7.7,0.0,222.0,0,cow_0002
0.5554,-2.5212,38.4,1.5695,4.6661,0.6714,0.0979,6.58,90.1771,0.0,5.0205,62.1778,32.1384,22.3341,3.0,7.7,0.0,223.0,0,cow_0002
-5.8622,4.0516,38.4,-4.8704,4.6609,0.5595,0.0989,6.58,90.7276,0.0,5.0311,64.132,32.6844,22.0179,3.0,7.7,0.0,224.0,0,cow_0002
-4.7393,2.2751,38.4,-1.2024,4.6506,0.3362,0.0971,6.58,90.4428,0.0,5.0105,65.9475,32.1633,22.5372,3.0,7.7,0.0,225.0,0,cow_0002
-7.1005,-0.4411,38.4,1.659,4.7187,1.8053,0.101,6.58,88.791,0.0,5.0208,64.9056,31.136,22.5954,3.0,7.7,0.0,226.0,0,cow_0002
-4.6607,-0.6892,38.4,-2.8632,4.6765,0.8961,0.097,6.58,86.9837,0.0,4.9947,65.3213,33.353,21.9256,3.0,7.7,0.0,227.0,0,cow_0002
-0.279,-0.0497,38.4,-2.0191,4.698,1.3592,0.0989,6.58,86.485,0.0,5.0315,64.3975,32.3758,22.2137,3.0,7.7,0.0,228.0,0,cow_0002
2.0363,6.299,38.4,-3.4797,5.1075,10.1944,0.1044,6.58,89.0908,0.0,5.0104,64.4115,32.5931,22.2592,3.0,7.7,0.0,229.0,0,cow_0002
-3.9072,-4.8972,38.4,-2.2136,4.7276,1.9976,0.1037,6.58,85.7662,0.0,5.0099,64.4375,30.9391,22.4092,3.0,7.7,0.0,230.0,0,cow_0002
-7.3711,6.3512,38.4,4.2838,4.8189,3.9672,0.101,6.58,87.5648,0.0,5.0155,63.5266,32.2116,21.4672,3.0,7.7,0.0,231.0,0,cow_0002
-5.6821,4.6017,38.6,-1.3061,5.0175,-0.5841,0.1005,6.62,99.56,0.0,5.0971,92.546,60.5447,28.5449,3.0,3.5,0.0,282.0,0,cow_0003
-2.7874,3.0702,38.6,-3.1927,5.2642,4.3028,0.0988,6.62,105.9395,0.0,5.0807,85.02,66.7654,24.7785,3.0,3.5,0.0,283.0,0,cow_0003
1.8013,-13.2707,38.6,-3.2553,5.0546,0.1511,0.0984,6.62,99.0955,0.0,5.0842,85.6828,61.5619,24.122,3.0,3.5,0.0,284.0,0,cow_0003
-2.4943,-3.0648,38.6,-6.82,5.1238,1.5223,0.1048,6.62,96.0812,0.0,5.0766,83.6883,61.1926,27.3118,3.0,3.5,0.0,285.0,0,cow_0003
-4.6676,-6.4978,38.6,1.2155,4.8379,-4.1436,0.1021,6.62,98.0406,0.0,5.0572,82.1835,63.9243,24.0665,3.0,3.5,0.0,286.0,0,cow_0003
-2.7749,2.4831,38.6,-5.092,5.0859,0.77,0.1124,6.62,105.2574,0.0,5.1162,90.1825,57.9757,24.6675,3.0,3.5,0.0,287.0,0,cow_0003
-3.3889,-1.8841,38.6,6.653,5.152,2.0812,0.104,6.62,103.8228,0.0,5.119,88.8943,63.9144,27.4291,3.0,3.5,0.0,288.0,0,cow_0003
-0.9623,7.9691,38.6,2.0274,5.043,-0.0786,0.105,6.62,107.3874,0.0,5.1077,89.3711,59.4392,26.6334,3.0,3.5,0.0,289.0,0,cow_0003
-7.4037,0.0592,38.6,-1.1256,5.2404,3.8321,0.0977,6.62,100.3174,0.0,5.0844,89.8673,60.2856,25.5127,3.0,3.5,0.0,290.0,0,cow_0003
-4.5676,-4.7786,38.6,3.5146,4.5995,-8.8665,0.097,6.62,98.3465,0.0,5.1358,85.3029,65.2414,25.7758,3.0,3.5,0.0,291.0,0,cow_0003
-8.5932,-8.559,38.6,-2.5238,4.9057,-2.7997,0.0982,6.62,101.9585,0.0,5.105,80.9431,59.3819,24.986,3.0,3.5,0.0,292.0,0,cow_0003
-12.1586,-2.6152,38.6,-2.5546,5.1542,2.1237,0.0989,6.62,102.3579,0.0,5.0773,76.8927,60.3402,25.8575,3.0,3.5,0.0,293.0,0,cow_0003
-12.9825,9.3781,38.6,-6.4427,5.32,5.4091,0.1017,6.62,100.4436,0.0,5.0796,84.5405,60.855,27.891,3.0,3.5,0.0,294.0,0,cow_0003
3.5676,-1.2105,38.6,-6.3293,5.0604,0.2648,0.0986,6.62,104.0165,0.0,5.0695,87.9974,63.1663,23.966,3.0,3.5,0.0,295.0,0,cow_0003
2.522,2.5656,38.6,-1.558,4.7479,-5.9265,0.0976,6.62,98.5788,0.0,5.1054,89.8655,66.3459,25.8903,3.0,3.5,0.0,296.0,0,cow_0003
-7.0798,2.898,38.6,-3.2273,5.3021,5.0552,0.0974,6.62,89.1349,0.0,5.0921,86.8665,61.8036,26.1601,3.0,3.5,0.0,297.0,0,cow_0003
-8.0588,-1.7978,38.6,-0.312,4.8967,-2.9783,0.1029,6.62,103.7556,0.0,5.1325,82.8343,60.1046,26.4475,3.0,3.5,0.0,298.0,0,cow_0003
4.6599,0.0325,38.6,0.2316,5.0465,-0.0104,0.1072,6.62,99.5038,0.0,5.1024,90.5409,66.3632,25.6613,3.0,3.5,0.0,299.0,0,cow_0003
-8.4002,3.2548,38.6,2.7387,4.8028,-4.838,0.0996,6.62,103.0681,0.0,5.1108,87.027,61.8386,26.2553,3.0,3.5,0.0,300.0,0,cow_0003
-7.4031,1.983,38.6,-2.8612,5.1151,1.3493,0.103,6.62,104.8996,0.0,5.1175,87.2159,61.7984,25.9612,3.0,3.5,0.0,301.0,0,cow_0003
-2.6317,-1.829,38.6,-1.4343,4.6609,-7.6509,0.0972,6.62,94.3052,0.0,5.1036,96.1391,59.2594,25.1404,3.0,3.5,0.0,302.0,0,cow_0003
-9.5895,1.8707,38.6,3.7138,5.1152,1.3514,0.1055,6.62,100.8904,0.0,5.0989,84.64,62.5717,26.8791,3.0,3.5,0.0,303.0,0,cow_0003
-0.1152,-3.1463,38.6,0.676,4.631,-8.2424,0.0978,6.62,89.4136,0.0,5.0923,83.6621,61.378,24.7615,3.0,3.5,0.0,304.0,0,cow_0003
